"","Date","Size","Price","Local_Amount","Currency"
"99","2018-12-16T16:20:07+00:00","5.5",450,450,"USD"
"100","2018-12-16T15:53:55+00:00","8",415,415,"USD"
"101","2018-12-16T15:44:07+00:00","5.5",444,444,"USD"
"102","2018-12-16T15:30:14+00:00","9",395,395,"USD"
"103","2018-12-16T15:30:07+00:00","7",440,440,"USD"
"104","2018-12-16T15:05:00+00:00","9",377.6411,378,"USD"
"105","2018-12-16T14:53:55+00:00","9",395,395,"USD"
"106","2018-12-16T14:52:04+00:00","12",374,374,"USD"
"107","2018-12-16T14:42:30+00:00","4",390,390,"USD"
"108","2018-12-16T14:24:27+00:00","9",394,394,"USD"
"109","2018-12-16T13:41:52+00:00","15",1107,1107,"USD"
"110","2018-12-16T13:29:05+00:00","5.5",439,439,"USD"
"111","2018-12-16T13:24:04+00:00","10",380.1587,381,"USD"
"112","2018-12-16T13:19:03+00:00","12.5",348.3316,349,"USD"
"113","2018-12-16T13:05:34+00:00","9.5",390.1766,391,"USD"
"114","2018-12-16T12:24:20+00:00","10.5",387,387,"USD"
"115","2018-12-16T12:13:35+00:00","10",378.8671,379,"USD"
"116","2018-12-16T10:47:39+00:00","12",372,372,"USD"
"117","2018-12-16T09:00:24+00:00","9",391,391,"USD"
"118","2018-12-16T08:04:52+00:00","10.5",375,375,"USD"
"119","2018-12-16T06:07:51+00:00","11",370,370,"USD"
"120","2018-12-16T06:06:32+00:00","10.5",384,384,"USD"
"121","2018-12-16T06:06:18+00:00","12",366,366,"USD"
"122","2018-12-16T05:55:51+00:00","9",391,391,"USD"
"123","2018-12-16T05:23:09+00:00","7.5",440,440,"USD"
"124","2018-12-16T05:20:47+00:00","8",400,400,"USD"
"125","2018-12-16T05:20:22+00:00","14",390,390,"USD"
"126","2018-12-16T05:06:10+00:00","11.5",393,393,"USD"
"127","2018-12-16T05:06:03+00:00","7",435,435,"USD"
"128","2018-12-16T04:41:40+00:00","11",350,350,"USD"
"129","2018-12-16T03:56:47+00:00","11.5",391,391,"USD"
"130","2018-12-16T03:49:57+00:00","5",414,414,"USD"
"131","2018-12-16T03:48:25+00:00","9",390,390,"USD"
"132","2018-12-16T03:47:29+00:00","9.5",389,389,"USD"
"133","2018-12-16T03:08:34+00:00","8",410,410,"USD"
"134","2018-12-16T03:07:22+00:00","12.5",347,347,"USD"
"135","2018-12-16T03:01:51+00:00","10",375,375,"USD"
"136","2018-12-16T02:48:13+00:00","9.5",376,376,"USD"
"137","2018-12-16T02:45:39+00:00","10.5",383,383,"USD"
"138","2018-12-16T02:42:50+00:00","9",390,390,"USD"
"139","2018-12-16T02:28:54+00:00","13",370,370,"USD"
"140","2018-12-16T02:13:24+00:00","12",366,366,"USD"
"141","2018-12-16T02:12:13+00:00","6",449,449,"USD"
"142","2018-12-16T02:04:14+00:00","8.5",410,410,"USD"
"143","2018-12-16T02:01:12+00:00","14",390,390,"USD"
"144","2018-12-16T01:35:34+00:00","10",379,379,"USD"
"145","2018-12-16T01:21:25+00:00","11",380,380,"USD"
"146","2018-12-16T01:18:20+00:00","11",350,350,"USD"
"147","2018-12-16T01:06:19+00:00","14",380,380,"USD"
"148","2018-12-16T01:04:17+00:00","9",390,390,"USD"
"149","2018-12-16T00:51:56+00:00","8",401,401,"USD"
"150","2018-12-16T00:47:18+00:00","10",378,378,"USD"
"151","2018-12-16T00:47:07+00:00","11.5",389,389,"USD"
"152","2018-12-16T00:42:48+00:00","11.5",388,388,"USD"
"153","2018-12-16T00:25:49+00:00","10",377,377,"USD"
"154","2018-12-16T00:22:02+00:00","5.5",440,440,"USD"
"155","2018-12-16T00:14:07+00:00","11",379,379,"USD"
"156","2018-12-16T00:13:19+00:00","4",390,390,"USD"
"157","2018-12-15T23:44:36+00:00","10.5",383,383,"USD"
"158","2018-12-15T23:40:14+00:00","10",375,375,"USD"
"159","2018-12-15T23:33:59+00:00","10",360,360,"USD"
"160","2018-12-15T23:31:38+00:00","9",390,390,"USD"
"161","2018-12-15T23:28:51+00:00","11",371,371,"USD"
"162","2018-12-15T23:27:20+00:00","10",375,375,"USD"
"163","2018-12-15T23:27:14+00:00","12",372,372,"USD"
"164","2018-12-15T23:09:30+00:00","11.5",388,388,"USD"
"165","2018-12-15T23:07:06+00:00","9",390,390,"USD"
"166","2018-12-15T23:00:55+00:00","13",370,370,"USD"
"167","2018-12-15T22:58:01+00:00","7.5",430,430,"USD"
"168","2018-12-15T22:54:19+00:00","11",380,380,"USD"
"169","2018-12-15T22:47:41+00:00","10.5",382,382,"USD"
"170","2018-12-15T22:31:25+00:00","11",379,379,"USD"
